section-1.conf.json,level-1-1.csv,act-1.csv
|, , , , , , , , , , , , , , , , , , , , , , ,|,-,-,-,-,-,-,-,-,-,-,|
|, , , , , , , , , , , , , , , ,s,s, , , , , ,|, , , , , , , , , , ,|
|, , , , , , , , ,s, , , , , , , ,,,,c2,c2,c2,|, , , , , , , , , , ,|
|, , , , , , , , , , , , , , , , , , ,,c2, ,h,|,@, , , , , , , , , ,|
|, , ,7, , , , , , , , , , , ,-,-,-,-,-,-,-,-,#,-,-, , , , , , , , ,|
|, , , , , , , , , , , , , ,-, , ,s, ,s, ,s, , , , , , ,-, ,, ,c2, ,|
|,P,$,a2,, , ,|, , , ,|, , ,$, , , , , , , , , , , , , , , ,6, , , ,|
#,-,-,-,-,-,-,#,-,-,-,#,-,-,-, , , , , , , , ,$, , , , , , , ,,c2, ,|
|, , , , , , , , , , , , , , ,-,-,-,-,-,-,-,-,-,-, , , , ,-,-, , , ,|
|, , , , , , , , , , , , , , , , , , , , , , , , ,^,^,^,^, , ,^,^,^,| 
