section-0.conf.json,level-1-0.csv
|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,|
|, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,|
|, , , , , , , , , , , , , , , , , , , , , , , , , , , ,h,|
|, , , , , , , , , , , , , , , , , , , , , , , , ,,,c1,c1,|
|, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,|
|, , , , , , , , , , , , , , ,,c1,c1,-,-,,,,,-,c1,c1,c1, ,|
|, ,#,-,-,-,-,^,^,^,#, , , , , , , , , , , , , ,6, ,, ,c1,|
|,@,|,, , ,c1, , , , , , , ,-,-,-,-,-, , , , , , , , , , ,|
|,-,#,, , ,c1, , , , , , , , , , , , , , , , , , , ,-,-,-,|
|, , ,7,, ,c1, , , , , , , , , , , , , ,$, , , , , , , , ,|
|,P,$,,,a1,c1, , , , , , , , , , , , ,-,-,-, , , , , , , ,|
#,-,-,-,-,-,-,-,-,-, ,5, ,-,-,-,-, , , , , , , , , , , , ,|
^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
