section-3.conf.json,level-3-1.csv,act-3.csv
|, , , , , , , , , , , ,c1, , , , , , , , , , , , , , , , ,#,-,-,-,-,-,#
|, , , , , , , , , , , ,c1, , , , , , , , , , , , , , , , ,|, , , , , ,|
|, , , , , , , , , , , ,c1, , , , , , , , , , , , , , , , ,|, , , , , ,|
|, , , , , , , , , , , ,c1, , , , , , , , , , , , , , , , ,|,@, , , , ,|
|, , , , , , , , , , ,h,c1, , , ,c1, , ,*, , ,*, ,c1,* ,,,*,|,-,-,c1,c1,c1,|
|, , , , , , , , , ,-,-,s,,,s,c1,c1,c1,c1,c1,s,c1,c1,c1,c1,c1,c1,c1,|, , , , , ,|
|, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,c1, , , , ,c1,|
|,a2, , , ,,#, , , , , , , , , , , , , , , , , , , , , ,,c1, , , ,c1, ,|
|,-,-, , , , , ,, ,#, ,#, , ,#, , , , , ,#, , , , , , , ,c1,$, , , ,,|
|, , , , , , , ,,c1,#,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c2,c2,c2,-,#,c1,-,-,-,-,|
|,P,$, , , ,-, ,c1,,c1, ,s,s,s, ,s,s, , , , , , , , , , , ,|, , , , , ,|
|,-,-,-, , , ,,c1,,c1,a1, , , , , , , , , , , , , , , ,$, ,|,-,-,-,c1,-,|
|, , , , , , , ,,c1,-,-, , , ,-, , ,-, , ,-, , , , ,-,-,-,|, , ,h, , ,|
|, , , , , , , ,,c1, , , , , , , , , , , , , , , , , , , ,#,c1,c1,c1,c1,c1,|
|,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,|
